plotID,datetime,SM_10,SM_20
AEG45,2059,NA,NA
AEG45,2060,NA,NA
AEG45,2061,NA,NA
AEG45,2062,NA,NA
AEG45,2063,NA,NA
AEG45,2064,NA,NA
AEG45,2065,NA,NA
AEG45,2066,NA,NA
AEG45,2067,NA,NA
AEG45,2068,NA,NA
AEG45,2069,NA,NA
AEG45,2070,NA,NA
AEG45,2071,NA,NA
AEG45,2072,NA,NA
AEG45,2073,NA,NA
AEG45,2074,NA,NA
AEG45,2075,NA,NA
AEG45,2076,NA,NA
AEG45,2077,NA,NA
AEG45,2078,NA,NA
AEG45,2079,NA,NA
AEG45,2080,NA,NA
AEG45,2081,NA,NA
AEG45,2082,NA,NA
AEG45,2083,NA,NA
AEG45,2084,NA,NA
AEG45,2085,NA,NA
AEG45,2086,NA,NA
AEG45,2087,NA,NA
AEG45,2088,NA,NA
AEG45,2089,NA,NA
AEG45,2090,NA,NA
AEG45,2091,NA,NA
AEG45,2092,NA,NA
AEG45,2093,NA,NA
AEG45,2094,NA,NA
AEG45,2095,NA,NA
AEG45,2096,NA,NA
AEG45,2097,NA,NA
AEG45,2098,NA,NA
AEG45,2099,NA,NA
AEG45,2100,NA,NA
AEG45,2101,NA,NA
AEG45,2102,NA,NA
AEG45,2103,NA,NA
AEG45,2104,NA,NA
AEG45,2105,NA,NA
AEG45,2106,NA,NA
AEG45,2107,NA,NA
AEG45,2108,NA,NA
AEG45,2109,NA,NA
AEG45,2110,NA,NA
AEG45,2111,NA,NA
AEG45,2112,NA,NA
AEG45,2113,NA,NA
AEG45,2114,NA,NA
AEG45,2115,NA,NA
AEG45,2116,NA,NA
AEG45,2117,NA,NA
AEG45,2118,NA,NA
AEG45,2119,NA,NA
AEG45,2120,NA,NA
AEG45,2121,NA,NA
AEG45,2122,NA,NA
AEG45,2123,NA,NA
AEG45,2124,NA,NA
AEG45,2125,NA,NA
AEG45,2126,NA,NA
AEG45,2127,NA,NA
AEG45,2128,NA,NA
AEG45,2129,NA,NA
AEG45,2130,NA,NA
AEG45,2131,NA,NA
AEG45,2132,NA,NA
AEG45,2133,NA,NA
AEG45,2134,NA,NA
AEG45,2135,NA,NA
AEG45,2136,NA,NA
AEG45,2137,NA,NA
AEG45,2138,NA,NA
AEG45,2139,NA,NA
AEG45,2140,NA,NA
AEG45,2141,NA,NA
AEG45,2142,NA,NA
AEG45,2143,NA,NA
AEG45,2144,NA,NA
AEG45,2145,NA,NA
AEG45,2146,NA,NA
AEG45,2147,NA,NA
AEG45,2148,NA,NA
AEG45,2149,NA,NA
AEG45,2150,NA,NA
AEG45,2151,NA,NA
AEG45,2152,NA,NA
AEG45,2153,NA,NA
AEG45,2154,NA,NA
AEG45,2155,NA,NA
AEG45,2156,NA,NA
AEG45,2157,NA,NA
AEG45,2158,NA,NA
AEG45,2159,NA,NA
AEG45,2160,NA,NA
AEG45,2161,NA,NA
AEG45,2162,NA,NA
AEG45,2163,NA,NA
AEG45,2164,NA,NA
AEG45,2165,NA,NA
AEG45,2166,NA,NA
AEG45,2167,NA,NA
AEG45,2168,NA,NA
AEG45,2169,NA,NA
AEG45,2170,NA,NA
AEG45,2171,NA,NA
AEG45,2172,NA,NA
AEG45,2173,NA,NA
AEG45,2174,NA,NA
AEG45,2175,NA,NA
AEG45,2176,NA,NA
AEG45,2177,NA,NA
AEG45,2178,NA,NA
AEG45,2179,NA,NA
AEG45,2180,NA,NA
AEG45,2181,NA,NA
AEG45,2182,NA,NA
AEG45,2183,NA,NA
AEG45,2184,NA,NA
AEG45,2185,NA,NA
AEG45,2186,NA,NA
AEG45,2187,NA,NA
AEG45,2188,NA,NA
AEG45,2189,NA,NA
AEG45,2190,NA,NA
AEG45,2191,NA,NA
AEG45,2192,NA,NA
AEG45,2193,NA,NA
AEG45,2194,NA,NA
AEG45,2195,NA,NA
AEG45,2196,NA,NA
AEG45,2197,NA,NA
AEG45,2198,NA,NA
AEG45,2199,NA,NA
AEG45,2200,NA,NA
AEG45,2201,NA,NA
AEG45,2202,NA,NA
AEG45,2203,NA,NA
AEG45,2204,NA,NA
AEG45,2205,NA,NA
AEG45,2206,NA,NA
AEG45,2207,NA,NA
AEG45,2208,NA,NA
AEG45,2209,NA,NA
AEG45,2210,NA,NA
AEG45,2211,NA,NA
AEG45,2212,NA,NA
AEG45,2213,NA,NA
AEG45,2214,NA,NA
AEG45,2215,NA,NA
AEG45,2216,NA,NA
AEG45,2217,NA,NA
AEG45,2218,NA,NA
AEG45,2219,NA,NA
AEG45,2220,NA,NA
AEG45,2221,NA,NA
AEG45,2222,NA,NA
AEG45,2223,NA,NA
AEG45,2224,NA,NA
AEG45,2225,NA,NA
AEG45,2226,NA,NA
AEG45,2227,NA,NA
AEG45,2228,NA,NA
AEG45,2229,NA,NA
AEG45,2230,NA,NA
AEG45,2231,NA,NA
AEG45,2232,NA,NA
AEG45,2233,NA,NA
AEG45,2234,NA,NA
AEG45,2235,NA,NA
AEG45,2236,NA,NA
AEG45,2237,NA,NA
